PlayerSpeed,Time
0,0
3,907557,1
0,6081119,2
1,921067,3
2,826889,4
0,9141116,5
PlayerSpeed,Time
0,0
3,907557,1
0,6081119,2
1,921067,3
2,826889,4
0,9141116,5
0,0
0,1
0,2
PlayerSpeed,Time
0,0
3,907557,1
0,6081119,2
1,921067,3
2,826889,4
0,9141116,5
0,0
0,1
0,2
0,3
PlayerSpeed,Time
0,0
3,907557,1
0,6081119,2
1,921067,3
2,826889,4
0,9141116,5
0,0
0,1
0,2
0,3
0,4
